Date,VX60d,VX90d,VF75,VVIX,VIX
2017-03-30,13.6493,14.3875,14.0184,77.87000274658203,11.539999961853027
2017-03-31,13.8257,14.4714,14.1486,78.30999755859375,12.369999885559082
2017-04-03,13.895,14.5893,14.2421,82.95999908447266,12.380000114440918
2017-04-04,13.7393,14.4679,14.1036,79.66999816894531,11.789999961853027
2017-04-05,14.2093,14.8732,14.5413,86.58999633789062,12.890000343322754
2017-04-06,13.8779,14.575,14.2264,83.91000366210938,12.390000343322754
2017-04-07,14.2464,14.9,14.5732,89.38999938964844,12.869999885559082
2017-04-10,14.6207,15.1929,14.9068,97.9000015258789,14.050000190734863
2017-04-11,14.765,15.3161,15.0405,103.73999786376953,15.069999694824219
2017-04-12,14.9964,15.4179,15.2071,111.52999877929688,15.770000457763672
2017-04-13,15.2621,15.6875,15.4748,115.54000091552734,15.960000038146973
2017-04-17,14.5393,15.1554,14.8473,101.48999786376953,14.65999984741211
2017-04-18,14.5021,15.1286,14.8154,99.5199966430664,14.420000076293945
2017-04-19,14.5293,15.1036,14.8164,97.88999938964844,14.930000305175781
2017-04-20,14.325,14.975,14.65,94.52999877929688,14.149999618530273
2017-04-21,14.2279,14.8375,14.5327,95.41000366210938,14.630000114440918
2017-04-24,13.3857,14.2536,13.8196,78.16999816894531,10.84000015258789
2017-04-25,13.2161,14.0554,13.6357,75.63999938964844,10.760000228881836
2017-04-26,13.3036,14.1714,13.7375,76.63999938964844,10.850000381469727
2017-04-27,13.2946,14.2,13.7473,76.66000366210938,10.359999656677246
2017-04-28,13.3125,14.1357,13.7241,77.08999633789062,10.819999694824219
2017-05-01,12.9304,13.7911,13.3607,78.33000183105469,10.109999656677246
2017-05-02,13.1464,13.9393,13.5429,79.33000183105469,10.59000015258789
2017-05-03,13.3286,14.0839,13.7063,78.7699966430664,10.680000305175781
2017-05-04,13.0607,13.85,13.4554,78.0,10.460000038146973
2017-05-05,13.1393,13.9696,13.5545,80.6500015258789,10.569999694824219
2017-05-08,13.1607,14.0929,13.6268,81.37999725341797,9.770000457763672
2017-05-09,13.2036,14.1161,13.6598,83.62999725341797,9.960000038146973
2017-05-10,13.2464,14.2107,13.7286,87.48999786376953,10.210000038146973
2017-05-11,13.3375,14.2,13.7688,86.51000213623047,10.600000381469727
2017-05-12,13.2821,14.2536,13.7679,82.5,10.399999618530273
2017-05-15,13.1196,14.0839,13.6018,79.52999877929688,10.420000076293945
2017-05-16,13.0607,14.0607,13.5607,76.76000213623047,10.649999618530273
2017-05-17,14.5821,14.9625,14.7723,111.4800033569336,15.59000015258789
2017-05-18,14.5536,15.025,14.7893,104.12000274658203,14.65999984741211
2017-05-19,13.4482,14.205,13.8266,87.20999908447266,12.039999961853027
2017-05-22,13.2286,14.045,13.6368,83.47000122070312,10.930000305175781
2017-05-23,13.4107,14.275,13.8429,84.19000244140625,10.720000267028809
2017-05-24,13.1107,14.1221,13.6164,81.91000366210938,10.020000457763672
2017-05-25,13.1857,14.155,13.6704,82.19999694824219,9.989999771118164
2017-05-26,13.1071,14.0436,13.5754,81.80999755859375,9.8100004196167
2017-05-30,13.0286,13.9693,13.4989,84.30000305175781,10.380000114440918
2017-05-31,13.0089,13.9521,13.4805,84.5199966430664,10.40999984741211
2017-06-01,12.8107,13.805,13.3079,83.83000183105469,9.890000343322754
2017-06-02,12.9429,13.9179,13.4304,83.62000274658203,9.75
2017-06-05,13.0821,14.0421,13.5621,86.08000183105469,10.069999694824219
2017-06-06,13.3107,14.2493,13.78,89.1500015258789,10.449999809265137
2017-06-07,13.2393,14.2107,13.725,88.22000122070312,10.390000343322754
