Date,VX60d,VX90d,VF75,VVIX,VIX,sigma_now,ema63,macd,roll_mu,roll_sd,roll_rank,roc_3m,roc_1m,vix_spread,spike_level,atr10,vf75_change_10d_atr
2018-05-01,16.6179,16.9264,16.7721,89.97000122070312,15.489999771118164,0.8997000122070312,17.28723112479643,-0.3487585792626397,16.713464285714288,2.513647663036686,0.3132530120481928,16.213856611303946,-14.344590902358943,-1.2821002288818342,21.74075961178766,0.2377700000000008,-1.2890608571308504
2018-05-02,16.9125,17.1807,17.0466,93.79000091552734,15.970000267028809,0.9379000091552734,17.279711402146543,-0.3090564226713646,16.760660714285713,2.481658749150086,0.3734939759036144,20.75998328150128,-11.838723190781808,-1.076599732971193,21.723978212585884,0.2454900000000009,0.6733471831846567
2018-05-03,16.6964,16.995,16.8457,91.06999969482422,15.899999618530272,0.9106999969482422,17.266148545829463,-0.3099191702062853,16.809342857142855,2.4419534796830726,0.3012048192771084,21.23918644653317,-11.314149135552888,-0.9457003814697272,21.693249816509,0.2519200000000008,-0.6835503334391853
2018-05-04,16.5607,16.8393,16.7,88.12000274658203,14.770000457763672,0.8812000274658203,17.248456403772295,-0.3234064940259387,16.858233333333335,2.397226474733793,0.2771084337349397,10.58284442914088,-10.320162390316732,-1.929999542236328,21.65268628280092,0.243140000000001,-2.26782923418606
2018-05-07,16.5821,16.8779,16.73,90.70999908447266,14.75,0.9070999908447266,17.232254641154412,-0.3099989412549817,16.906736904761903,2.3519620245161605,0.2771084337349397,-30.89061467283541,-13.508315712742148,-1.9800000000000004,21.610660953794223,0.2404300000000009,-1.931123403901327
2018-05-08,16.4982,16.7836,16.6409,89.5,14.710000038146973,0.895,17.213774808618336,-0.3045470567546786,16.95507619047619,2.303194224718277,0.2409638554216867,-16.53843839024196,-14.66380176816886,-1.9308999618530256,21.561464639912742,0.212970000000001,-4.3062403155373845
2018-05-09,15.9786,16.375,16.1768,93.88999938964844,13.420000076293944,0.9388999938964844,17.18136934584901,-0.375329453385234,16.997908333333335,2.253754810388955,0.216867469879518,-15.835696261803813,-15.736617025820532,-2.7567999237060548,21.505417954111245,0.2386800000000008,-6.6540975364504575
2018-05-10,15.4482,15.865,15.6566,93.0199966430664,13.229999542236328,0.930199966430664,17.13372030379123,-0.496989420346253,17.033765476190474,2.207137667598796,0.2048192771084337,-23.36278420910939,-19.19174193548388,-2.426600457763671,21.44804081138807,0.2353800000000008,-6.607188376242651
2018-05-11,15.0929,15.5171,15.305,90.02999877929688,12.649999618530272,0.9002999877929687,17.07657279429775,-0.609814667164633,17.067030952380954,2.1586711100674862,0.1927710843373494,-19.5684390864278,-18.48289232604714,-2.6550003814697263,21.384373172515925,0.2578600000000008,-6.902970604203813
2018-05-14,14.8857,15.2607,15.0732,92.62000274658205,12.93000030517578,0.9262000274658204,17.013967394475948,-0.6893998240530088,17.09799404761905,2.11007833243229,0.1686746987951807,-19.793113356640003,-17.884517953159996,-2.1431996948242187,21.31815071248363,0.2715600000000009,-7.757401679186895
